,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,log_returns,t_exp,vol_est
0,1,0,COCONUT,9999.0,200,,0,,0,10001.0,200,,0,,0,10000.0,0.0,,1.0,
2,1,100,COCONUT,9999.0,104,9998.0,44,,0,10000.0,104,10001.0,44,,0,9999.5,0.0,-5.000125004166272e-05,0.9999996,
4,1,200,COCONUT,9998.0,133,9997.0,62,,0,9999.0,133,10000.0,62,,0,9998.5,0.0,-0.00010001000108342667,0.9999992,
7,1,300,COCONUT,9999.0,149,9998.0,51,,0,10000.0,149,10001.0,51,,0,9999.5,0.0,0.0001000100010834407,0.9999988,
8,1,400,COCONUT,9998.0,108,9997.0,63,,0,9999.0,103,10000.0,63,,0,9998.5,0.0,-0.00010001000108342667,0.9999984,
10,1,500,COCONUT,9996.0,114,9995.0,42,,0,9997.0,114,9998.0,42,,0,9996.5,0.0,-0.00020005001317025738,0.999998,
12,1,600,COCONUT,9996.0,206,,0,,0,9998.0,141,9999.0,65,,0,9997.0,0.0,5.0016255293347284e-05,0.9999976,
15,1,700,COCONUT,9997.0,125,9996.0,65,,0,9999.0,190,,0,,0,9998.0,0.0,0.00010002500633486313,0.9999972,
16,1,800,COCONUT,9996.0,162,,0,,0,9998.0,119,9999.0,43,,0,9997.0,0.0,-0.00010002500633493674,0.9999968,
18,1,900,COCONUT,9996.0,116,9995.0,72,,0,9997.0,116,9998.0,72,,0,9996.5,0.0,-5.001625529334597e-05,0.9999964,
20,1,1000,COCONUT,9999.0,103,9998.0,75,,0,10000.0,103,10001.0,75,,0,9999.5,0.0,0.00030006001425369403,0.999996,
23,1,1100,COCONUT,9997.0,158,,0,,0,9999.0,105,10000.0,53,,0,9998.0,0.0,-0.00015001875262535098,0.9999956,
24,1,1200,COCONUT,9997.0,116,9996.0,59,,0,9998.0,116,9999.0,59,,0,9997.5,0.0,-5.001125254228787e-05,0.9999952,
26,1,1300,COCONUT,9998.0,112,9997.0,52,,0,10000.0,164,,0,,0,9999.0,0.0,0.00015002625487586178,0.9999948000000001,
28,1,1400,COCONUT,9999.0,116,9998.0,78,,0,10000.0,116,10001.0,78,,0,9999.5,0.0,5.000375029175968e-05,0.9999944000000001,
31,1,1500,COCONUT,10001.0,104,10000.0,74,,0,10002.0,104,10003.0,74,,0,10001.5,0.0,0.00019999000116647833,0.999994,
32,1,1600,COCONUT,10001.0,172,,0,,0,10003.0,130,10004.0,42,,0,10002.0,0.0,4.999125154136902e-05,0.9999936,
34,1,1700,COCONUT,10001.0,107,10000.0,69,,0,10002.0,107,10003.0,69,,0,10001.5,0.0,-4.999125154136013e-05,0.9999932,
36,1,1800,COCONUT,10001.0,116,10000.0,67,,0,10003.0,175,,0,,0,10002.0,0.0,4.999125154136902e-05,0.9999928,
39,1,1900,COCONUT,10000.0,219,,0,,0,10002.0,141,10003.0,78,,0,10001.0,0.0,-9.998500233300313e-05,0.9999924,
40,1,2000,COCONUT,10001.0,198,,0,,0,10003.0,143,10004.0,55,,0,10002.0,0.0,9.9985002332975e-05,0.999992,
42,1,2100,COCONUT,10002.0,148,10001.0,57,,0,10003.0,148,10004.0,57,,0,10002.5,0.0,4.998875254116811e-05,0.9999916,
44,1,2200,COCONUT,10001.0,140,10000.0,62,,0,10002.0,140,10003.0,62,,0,10001.5,0.0,-9.998000408252173e-05,0.9999912000000001,
47,1,2300,COCONUT,10001.0,114,10000.0,40,,0,10003.0,154,,0,,0,10002.0,0.0,4.999125154136902e-05,0.9999908000000001,
48,1,2400,COCONUT,10000.0,105,9999.0,53,,0,10002.0,158,,0,,0,10001.0,0.0,-9.998500233300313e-05,0.9999904000000001,
50,1,2500,COCONUT,10000.0,190,,0,,0,10002.0,131,10003.0,59,,0,10001.0,0.0,0.0,0.99999,
52,1,2600,COCONUT,10000.0,126,9999.0,77,,0,10001.0,126,10002.0,77,,0,10000.5,0.0,-4.9996250291651534e-05,0.9999896,
55,1,2700,COCONUT,10000.0,105,9999.0,41,,0,10002.0,146,,0,,0,10001.0,0.0,4.999625029155926e-05,0.9999892,
56,1,2800,COCONUT,9998.0,143,9997.0,41,,0,9999.0,143,10000.0,41,,0,9998.5,0.0,-0.00025000625145847643,0.9999888,
58,1,2900,COCONUT,9998.0,106,9997.0,46,,0,10000.0,152,,0,,0,9999.0,0.0,5.000625079175942e-05,0.9999884,
60,1,3000,COCONUT,9997.0,134,9996.0,54,,0,9998.0,134,9999.0,54,,0,9997.5,0.0,-0.00015002625487593843,0.9999880000000001,
63,1,3100,COCONUT,9998.0,123,9997.0,41,,0,9999.0,123,10000.0,41,,0,9998.5,0.0,0.00010002000408412354,0.9999876000000001,
65,1,3200,COCONUT,9997.0,100,9996.0,73,,0,9998.0,100,9999.0,73,,0,9997.5,0.0,-0.00010002000408416586,0.9999872000000001,
66,1,3300,COCONUT,9996.0,129,9995.0,62,,0,9998.0,191,,0,,0,9997.0,0.0,-5.00137537926854e-05,0.9999868000000001,
69,1,3400,COCONUT,9995.0,207,,0,,0,9997.0,142,9998.0,65,,0,9996.0,0.0,-0.00010003501233772528,0.9999864,
71,1,3500,COCONUT,9996.0,105,9995.0,73,,0,9997.0,105,9998.0,73,,0,9996.5,0.0,5.001875704425249e-05,0.999986,
73,1,3600,COCONUT,9997.0,121,9996.0,65,,0,9998.0,121,9999.0,65,,0,9997.5,0.0,0.00010003000908601618,0.9999856,
74,1,3700,COCONUT,9997.0,128,9996.0,63,,0,9998.0,128,9999.0,63,,0,9997.5,0.0,0.0,0.9999852,
77,1,3800,COCONUT,9997.0,100,9996.0,60,,0,9998.0,100,9999.0,60,,0,9997.5,0.0,0.0,0.9999847999999999,
79,1,3900,COCONUT,9997.0,119,9996.0,79,,0,9998.0,119,9999.0,79,,0,9997.5,0.0,0.0,0.9999844,
81,1,4000,COCONUT,9997.0,146,9996.0,52,,0,9998.0,146,9999.0,52,,0,9997.5,0.0,0.0,0.999984,
82,1,4100,COCONUT,9997.0,143,9996.0,67,,0,9998.0,143,9999.0,67,,0,9997.5,0.0,0.0,0.9999836,
85,1,4200,COCONUT,9996.0,140,9995.0,51,,0,9998.0,191,,0,,0,9997.0,0.0,-5.00137537926854e-05,0.9999832,
87,1,4300,COCONUT,9996.0,138,9995.0,76,,0,9998.0,214,,0,,0,9997.0,0.0,0.0,0.9999828,
89,1,4400,COCONUT,9998.0,141,9997.0,44,,0,9999.0,141,10000.0,44,,0,9998.5,0.0,0.00015003375787697748,0.9999823999999999,
90,1,4500,COCONUT,9999.0,136,9998.0,78,,0,10000.0,136,10001.0,78,,0,9999.5,0.0,0.0001000100010834407,0.9999819999999999,
93,1,4600,COCONUT,9997.0,112,9996.0,70,,0,9998.0,112,9999.0,70,,0,9997.5,0.0,-0.00020003000516768954,0.9999815999999999,
95,1,4700,COCONUT,9997.0,133,9996.0,66,,0,9998.0,133,9999.0,66,,0,9997.5,0.0,0.0,0.9999811999999999,
97,1,4800,COCONUT,9997.0,112,9996.0,67,,0,9998.0,112,9999.0,67,,0,9997.5,0.0,0.0,0.9999808,
98,1,4900,COCONUT,9996.0,187,,0,,0,9998.0,122,9999.0,65,,0,9997.0,0.0,-5.00137537926854e-05,0.9999804,
101,1,5000,COCONUT,9996.0,129,9995.0,62,,0,9997.0,129,9998.0,62,,0,9996.5,0.0,-5.001625529334597e-05,0.99998,
103,1,5100,COCONUT,9996.0,128,9995.0,42,,0,9997.0,128,9998.0,42,,0,9996.5,0.0,0.0,0.9999796,
105,1,5200,COCONUT,9997.0,99,9996.0,64,,0,9998.0,107,9999.0,64,,0,9997.5,0.0,0.00010003000908601618,0.9999792,
