,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,imp_vol,delta
1,3,0,COCONUT_COUPON,619.0,46,,0,,0,621.0,46,,0,,0,620.0,0.0,0.15739807020111593,0.528953712452966
3,3,100,COCONUT_COUPON,620.0,32,,0,,0,621.0,32,,0,,0,620.5,0.0,0.15765796158371195,0.5287553335692716
5,3,200,COCONUT_COUPON,620.0,39,,0,,0,621.0,39,,0,,0,620.5,0.0,0.1575912107486601,0.5288679026017906
6,3,300,COCONUT_COUPON,621.0,42,,0,,0,622.0,42,,0,,0,621.5,0.0,0.15771019939714748,0.5291468244678244
9,3,400,COCONUT_COUPON,621.0,40,,0,,0,622.0,40,,0,,0,621.5,0.0,0.15791063825039847,0.5288094388279853
11,3,500,COCONUT_COUPON,620.0,43,,0,,0,621.0,43,,0,,0,620.5,0.0,0.15785836339871923,0.5284181974983488
13,3,600,COCONUT_COUPON,618.0,41,,0,,0,620.0,41,,0,,0,619.0,0.0,0.15774631073889644,0.5278867082334394
14,3,700,COCONUT_COUPON,618.0,48,,0,,0,619.0,48,,0,,0,618.5,0.0,0.15762002807023906,0.5278589322157192
17,3,800,COCONUT_COUPON,618.0,31,,0,,0,619.0,31,,0,,0,618.5,0.0,0.1576200598479681,0.5278589322155869
19,3,900,COCONUT_COUPON,618.0,37,,0,,0,619.0,37,,0,,0,618.5,0.0,0.15775341951327812,0.5276346023069797
21,3,1000,COCONUT_COUPON,618.0,34,,0,,0,619.0,34,,0,,0,618.5,0.0,0.15768679343173309,0.5277467198729369
22,3,1100,COCONUT_COUPON,617.0,37,,0,,0,618.0,37,,0,,0,617.5,0.0,0.15736752788545424,0.5278033669742093
25,3,1200,COCONUT_COUPON,617.0,32,,0,,0,618.0,47,,0,,0,617.5,0.0,0.15730088505830123,0.5279158762668289
27,3,1300,COCONUT_COUPON,615.0,36,,0,,0,616.0,36,,0,,0,615.5,0.0,0.1571288587689475,0.5272414793090534
29,3,1400,COCONUT_COUPON,614.0,45,,0,,0,615.0,45,,0,,0,614.5,0.0,0.15700940829747131,0.5269598638587238
30,3,1500,COCONUT_COUPON,613.0,39,,0,,0,614.0,39,,0,,0,613.5,0.0,0.15682333412368712,0.5267903549118906
33,3,1600,COCONUT_COUPON,613.0,37,,0,,0,615.0,37,,0,,0,614.0,0.0,0.15688313918755428,0.526931437852528
